Swappiness,repeats,jain_throughput_mean,jain_throughput_std,jain_inverse_slowdown_mean,jain_inverse_slowdown_std,throughput_min,throughput_max,slowdown_min,slowdown_max
10,3,0.9529294326472976,0.054049401640284024,0.9529294326472976,0.054049401640284024,861.3866666666667,1357.27,0.9632156190363582,1.6868804233947883
60,3,0.9820915479401213,0.026104212883410274,0.9820915479401214,0.026104212883409972,866.4066666666668,1136.0766666666668,1.2592614781203435,1.6392536319202755
100,3,0.9907808903943472,0.00830069170693621,0.9907808903943472,0.008300691706936099,957.6533333333333,1164.58,1.1568729747451834,1.4588722974241308
