,Swappiness,Stress,Req/sec,Failed,Δpgmajfault,Δpswpin,Δpswpout
3,10,extreme,2011.83,1,0,0,0
4,10,high,1982.65,0,0,0,204800
5,10,moderate,1991.29,0,1,0,0
0,100,extreme,1963.91,1,0,0,0
1,100,high,1187.11,0,0,0,204787
2,100,moderate,1160.78,0,0,0,0
6,60,extreme,1102.53,0,0,0,307200
7,60,high,1887.03,1,0,0,409600
8,60,moderate,1227.64,0,0,0,0
