Swappiness,Repeat,jain_throughput,jain_inverse_slowdown,throughput_min,throughput_max,slowdown_min,slowdown_max
10,1,0.891850991971787,0.891850991971787,530.7,1354.91,0.9639164224930068,2.4609383832673823
10,2,0.9945774729565368,0.9945774729565368,1176.97,1411.36,0.9253627706609228,1.1096459552919784
10,3,0.972359833013569,0.972359833013569,876.49,1305.54,1.000367663955145,1.4900569316250043
60,1,0.9962662744235943,0.9962662744235943,610.03,708.94,1.8422151380934917,2.1409111027326526
60,2,0.9980419314871107,0.9980419314871107,1226.23,1363.9,0.9575628711782388,1.0650693589294016
60,3,0.951966437909659,0.9519664379096595,762.96,1335.39,0.9780064250892996,1.711780434098773
100,1,0.993049828773492,0.9930498287734917,1091.31,1321.55,0.9882486474215884,1.1967451961404183
100,2,0.98158165699326,0.9815816569932602,642.19,894.33,1.4603334339673275,2.0336971924196887
100,3,0.99771118541629,0.99771118541629,1139.46,1277.86,1.0220368428466342,1.1461745037122848
